Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c122_2006_013130,Th-Ar arc,,,6.132875E-7,6.762875E-7,,,2006-08-04T04:12:44.000
DAO,dao_c122_2006_013131,Th-Ar arc,,,6.132875E-7,6.762875E-7,,,2006-08-04T04:13:19.000
DAO,dao_c122_1997_005439,Th-Ar arc,,,,,,,1997-04-17T05:34:16.000
DAO,dao_c122_2006_013137,Th-Ar arc,,,6.132875E-7,6.762875E-7,,,2006-08-04T04:16:53.000
DAO,dao_c122_2006_005069,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:34:47.000
DAO,dao_c122_2006_005071,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:35:45.000
DAO,dao_c122_2006_005072,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:36:15.000
DAO,dao_c122_2006_005073,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:36:44.000
DAO,dao_c122_2006_011537,flat field,,,4.942875E-7,5.572875E-7,,,2006-07-24T14:15:45.000
DAO,dao_c122_2006_011538,flat field,,,4.942875E-7,5.572875E-7,,,2006-07-24T14:16:10.000
DAO,dao_c122_2006_011539,flat field,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-24T23:50:27.000
DAO,dao_c122_2006_011542,flat field,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-24T23:52:45.000
DAO,dao_c122_2006_011543,flat field,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-24T23:53:31.000
DAO,dao_c122_2006_011548,flat field,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-24T23:57:21.000
DAO,dao_c122_1997_005440,Th-Ar arc,,,,,,,1997-04-17T05:34:24.000
DAO,dao_c122_1997_005441,Th-Ar arc,,,,,,,1997-04-17T05:34:32.000
DAO,dao_c122_1997_005442,Th-Ar arc,,,,,,,1997-04-17T05:34:41.000
DAO,dao_c122_1997_005443,Th-Ar arc,,,,,,,1997-04-17T05:34:49.000
DAO,dao_c122_1997_005444,Th-Ar arc,,,,,,,1997-04-17T05:34:57.000
DAO,dao_c122_1997_005445,Th-Ar arc,,,,,,,1997-04-17T05:35:06.000
